,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
0,0.056,0.059,0.038,0.052,0.042,0.039,0.049,0.036,0.042,0.034,0.099,0.046,0.041,0.057,0.053,0.043,0.047,0.066,0.049,0.052
1,0.052,0.045,0.038,0.057,0.048,0.05,0.043,0.046,0.043,0.038,0.107,0.038,0.048,0.034,0.052,0.049,0.051,0.05,0.054,0.057
2,0.063,0.042,0.047,0.037,0.055,0.044,0.04,0.041,0.034,0.044,0.131,0.038,0.046,0.042,0.04,0.05,0.043,0.043,0.059,0.061
3,0.059,0.046,0.045,0.057,0.042,0.048,0.039,0.038,0.055,0.039,0.118,0.041,0.056,0.041,0.043,0.053,0.051,0.053,0.038,0.038
4,0.04,0.057,0.054,0.047,0.048,0.042,0.041,0.041,0.049,0.05,0.096,0.044,0.054,0.045,0.048,0.042,0.053,0.053,0.052,0.044
5,0.052,0.062,0.044,0.058,0.039,0.034,0.046,0.03,0.047,0.038,0.138,0.038,0.046,0.042,0.041,0.052,0.055,0.043,0.049,0.046
6,0.059,0.05,0.056,0.047,0.045,0.038,0.028,0.043,0.045,0.038,0.104,0.046,0.046,0.048,0.043,0.045,0.042,0.064,0.059,0.054
7,0.054,0.047,0.047,0.057,0.052,0.051,0.036,0.041,0.039,0.047,0.096,0.036,0.042,0.048,0.042,0.052,0.045,0.046,0.064,0.058
8,0.037,0.052,0.049,0.052,0.033,0.049,0.037,0.039,0.042,0.047,0.13,0.051,0.047,0.05,0.04,0.042,0.046,0.058,0.062,0.037
9,0.063,0.047,0.049,0.062,0.041,0.036,0.037,0.04,0.052,0.051,0.117,0.041,0.038,0.05,0.04,0.046,0.036,0.043,0.056,0.055
10,0.053,0.043,0.048,0.044,0.034,0.043,0.035,0.049,0.047,0.036,0.109,0.039,0.046,0.044,0.065,0.042,0.056,0.052,0.064,0.051
11,0.059,0.042,0.05,0.046,0.05,0.049,0.043,0.047,0.05,0.039,0.101,0.036,0.046,0.041,0.039,0.042,0.059,0.053,0.06,0.048
12,0.059,0.037,0.044,0.048,0.029,0.039,0.049,0.047,0.043,0.04,0.102,0.046,0.059,0.044,0.056,0.037,0.044,0.057,0.061,0.059
13,0.041,0.049,0.047,0.044,0.041,0.047,0.045,0.052,0.042,0.042,0.103,0.039,0.055,0.059,0.035,0.044,0.051,0.046,0.057,0.061
14,0.041,0.049,0.034,0.038,0.05,0.047,0.05,0.055,0.033,0.053,0.099,0.045,0.051,0.039,0.042,0.045,0.065,0.061,0.049,0.054
15,0.055,0.054,0.055,0.041,0.051,0.042,0.046,0.051,0.039,0.025,0.111,0.033,0.046,0.046,0.048,0.056,0.06,0.04,0.048,0.053
16,0.052,0.052,0.046,0.051,0.042,0.05,0.04,0.039,0.045,0.051,0.116,0.047,0.046,0.051,0.031,0.042,0.039,0.052,0.052,0.056
17,0.051,0.044,0.054,0.058,0.047,0.048,0.039,0.038,0.042,0.042,0.105,0.046,0.049,0.049,0.047,0.036,0.05,0.054,0.051,0.05
18,0.049,0.033,0.056,0.055,0.049,0.047,0.042,0.042,0.041,0.044,0.096,0.025,0.053,0.054,0.056,0.056,0.048,0.049,0.041,0.064
19,0.066,0.057,0.049,0.051,0.049,0.038,0.036,0.042,0.042,0.039,0.102,0.038,0.052,0.051,0.046,0.046,0.048,0.056,0.057,0.035
20,0.051,0.057,0.048,0.037,0.046,0.052,0.037,0.037,0.047,0.036,0.112,0.047,0.045,0.048,0.052,0.041,0.057,0.049,0.045,0.056
21,0.051,0.041,0.06,0.052,0.044,0.038,0.039,0.046,0.041,0.044,0.11,0.038,0.043,0.056,0.049,0.042,0.057,0.053,0.045,0.051
22,0.055,0.057,0.042,0.046,0.04,0.033,0.033,0.038,0.043,0.041,0.13,0.053,0.062,0.043,0.042,0.059,0.05,0.049,0.046,0.038
23,0.039,0.051,0.048,0.045,0.047,0.03,0.046,0.038,0.05,0.044,0.107,0.053,0.055,0.038,0.048,0.04,0.041,0.05,0.066,0.064
24,0.052,0.048,0.041,0.053,0.04,0.031,0.043,0.051,0.045,0.037,0.101,0.044,0.052,0.041,0.046,0.058,0.049,0.058,0.057,0.053
25,0.046,0.064,0.054,0.057,0.046,0.045,0.038,0.041,0.052,0.04,0.1,0.038,0.039,0.059,0.045,0.046,0.042,0.043,0.058,0.047
26,0.058,0.043,0.036,0.054,0.053,0.032,0.043,0.042,0.037,0.05,0.108,0.048,0.064,0.062,0.053,0.037,0.039,0.04,0.052,0.049
27,0.054,0.055,0.04,0.035,0.049,0.032,0.051,0.039,0.05,0.053,0.106,0.042,0.055,0.049,0.043,0.048,0.047,0.055,0.044,0.053
28,0.058,0.054,0.044,0.057,0.043,0.044,0.037,0.046,0.048,0.041,0.111,0.048,0.039,0.043,0.041,0.062,0.051,0.043,0.048,0.042
29,0.047,0.05,0.043,0.039,0.05,0.042,0.043,0.043,0.036,0.04,0.115,0.05,0.062,0.05,0.044,0.054,0.038,0.057,0.044,0.053
30,0.053,0.052,0.05,0.051,0.052,0.047,0.048,0.041,0.039,0.047,0.101,0.044,0.049,0.048,0.038,0.046,0.047,0.05,0.048,0.049
31,0.055,0.042,0.048,0.049,0.047,0.05,0.053,0.045,0.04,0.049,0.107,0.04,0.049,0.031,0.039,0.039,0.053,0.055,0.06,0.049
32,0.057,0.052,0.041,0.043,0.036,0.032,0.055,0.047,0.036,0.046,0.108,0.046,0.062,0.041,0.053,0.046,0.05,0.054,0.042,0.053
33,0.046,0.039,0.051,0.049,0.045,0.05,0.04,0.044,0.044,0.055,0.099,0.042,0.042,0.061,0.041,0.03,0.056,0.052,0.051,0.063
34,0.053,0.056,0.046,0.042,0.043,0.046,0.046,0.035,0.057,0.043,0.121,0.038,0.04,0.045,0.041,0.058,0.041,0.041,0.052,0.056
35,0.055,0.047,0.047,0.053,0.046,0.042,0.041,0.04,0.038,0.038,0.112,0.044,0.055,0.045,0.051,0.051,0.049,0.044,0.051,0.051
36,0.053,0.04,0.052,0.049,0.039,0.047,0.032,0.04,0.048,0.035,0.126,0.055,0.044,0.043,0.042,0.043,0.047,0.058,0.052,0.055
37,0.049,0.053,0.047,0.055,0.047,0.046,0.039,0.034,0.042,0.038,0.113,0.052,0.04,0.045,0.046,0.044,0.057,0.055,0.041,0.057
38,0.057,0.041,0.049,0.052,0.033,0.042,0.056,0.029,0.03,0.042,0.12,0.05,0.055,0.047,0.053,0.048,0.057,0.055,0.042,0.042
39,0.065,0.042,0.046,0.045,0.045,0.042,0.049,0.039,0.058,0.042,0.114,0.057,0.037,0.039,0.043,0.042,0.048,0.04,0.063,0.044
40,0.059,0.044,0.04,0.046,0.043,0.044,0.05,0.049,0.04,0.044,0.104,0.046,0.041,0.056,0.039,0.046,0.043,0.046,0.055,0.065
41,0.05,0.044,0.053,0.043,0.046,0.037,0.05,0.043,0.055,0.033,0.109,0.038,0.049,0.036,0.048,0.049,0.05,0.051,0.049,0.067
42,0.044,0.057,0.052,0.043,0.044,0.035,0.04,0.039,0.054,0.044,0.119,0.046,0.043,0.047,0.049,0.042,0.049,0.051,0.051,0.051
43,0.063,0.046,0.043,0.05,0.043,0.046,0.033,0.043,0.048,0.049,0.113,0.037,0.049,0.038,0.039,0.048,0.053,0.064,0.052,0.043
44,0.046,0.054,0.057,0.055,0.054,0.041,0.039,0.042,0.048,0.054,0.102,0.032,0.04,0.043,0.04,0.045,0.059,0.041,0.062,0.046
45,0.041,0.038,0.044,0.05,0.052,0.047,0.043,0.044,0.045,0.043,0.117,0.04,0.064,0.042,0.034,0.047,0.049,0.054,0.044,0.062
46,0.052,0.051,0.045,0.05,0.048,0.048,0.04,0.039,0.043,0.044,0.127,0.034,0.054,0.047,0.029,0.053,0.048,0.045,0.053,0.05
47,0.044,0.06,0.056,0.051,0.045,0.059,0.03,0.041,0.042,0.038,0.113,0.039,0.047,0.039,0.059,0.049,0.045,0.048,0.036,0.059
48,0.039,0.047,0.057,0.048,0.048,0.043,0.038,0.043,0.051,0.042,0.13,0.04,0.063,0.041,0.038,0.048,0.043,0.044,0.047,0.05
49,0.053,0.055,0.045,0.039,0.05,0.041,0.045,0.038,0.049,0.041,0.114,0.044,0.045,0.04,0.043,0.043,0.051,0.047,0.054,0.063
50,0.049,0.051,0.049,0.044,0.038,0.041,0.049,0.046,0.045,0.041,0.112,0.054,0.036,0.042,0.054,0.044,0.048,0.06,0.048,0.049
51,0.048,0.042,0.057,0.046,0.051,0.042,0.034,0.043,0.057,0.033,0.122,0.035,0.046,0.036,0.05,0.055,0.053,0.064,0.043,0.043
52,0.055,0.056,0.056,0.039,0.044,0.043,0.035,0.046,0.045,0.044,0.111,0.041,0.051,0.046,0.035,0.051,0.04,0.057,0.061,0.044
53,0.052,0.052,0.046,0.054,0.052,0.044,0.052,0.032,0.042,0.051,0.099,0.035,0.041,0.049,0.049,0.044,0.057,0.047,0.053,0.049
